Id,Median household income,Geography,Margin of Error
34001,55456,"Atlantic County, New Jersey",1308
34003,88487,"Bergen County, New Jersey",1243
34005,80034,"Burlington County, New Jersey",1109
34007,63028,"Camden County, New Jersey",1103
34009,59338,"Cape May County, New Jersey",1661
34011,49537,"Cumberland County, New Jersey",1599
34013,54860,"Essex County, New Jersey",1033
34015,78592,"Gloucester County, New Jersey",1808
34017,60894,"Hudson County, New Jersey",710
34019,108177,"Hunterdon County, New Jersey",2681
34021,73966,"Mercer County, New Jersey",1714
34023,80716,"Middlesex County, New Jersey",786
34025,87297,"Monmouth County, New Jersey",1401
34027,102798,"Morris County, New Jersey",1246
34029,63108,"Ocean County, New Jersey",997
34031,61664,"Passaic County, New Jersey",1051
34033,61341,"Salem County, New Jersey",2464
34035,102405,"Somerset County, New Jersey",1611
34037,87388,"Sussex County, New Jersey",2095
34039,70476,"Union County, New Jersey",1197
34041,72999,"Warren County, New Jersey",1850
