Category,Endangered?,Dangerous?,Total,male,female,no_gender,First_name,Second_name,Zoo_name
R,No,     Yes,0.0.2,0,0,2,AMERICAN,ALLIGATOR,Adventure_aquarium
B,No,No,1.0.0,1,0,0,RED-LORED,AMAZON,Adventure_aquarium
B,No,No,0.1.0,0,1,0,YELLOW-NAPED,AMAZON,Adventure_aquarium
M,No,Yes,0.1.0,0,1,0,LARGE HAIRY,ARMADILLO,Adventure_aquarium
M,No,Yes,1.0.0,1,0,0,SOUTHERN THREE-BANDED,ARMADILLO,Adventure_aquarium
A,No,No,5.5.372,5,5,372,,AXOLOTL,Adventure_aquarium
R,No,Yes,0.1.0,0,1,0,CUVIER'S DWARF,CAIMAN,Adventure_aquarium
M,No,No,0.0.2,0,0,2,,CHINCHILLA,Adventure_aquarium
R,No,Yes,0.0.2,0,0,2,AFRICAN DWARF,CROCODILE,Adventure_aquarium
R,No,No,0.0.1,0,0,1,AUSTRALIAN BEARDED,DRAGON,Adventure_aquarium
A,No,No,0.0.1,0,0,1,AFRICAN BULL,FROG,Adventure_aquarium
A,No,No,0.0.8,0,0,8,AMAZON MILK,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,AMAZONIAN POISON DART,FROG,Adventure_aquarium
A,No,No,0.0.1,0,0,1,ARGENTINE HORNED,FROG,Adventure_aquarium
A,No,No,0.0.6,0,0,6,BLUE & BLACK POISON DART,FROG,Adventure_aquarium
A,No,No,0.0.3,0,0,3,BORNEAN-EARED,FROG,Adventure_aquarium
A,No,No,0.0.13,0,0,13,BULL,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,CARPENTER,FROG,Adventure_aquarium
A,No,No,0.0.4,0,0,4,CINNAMON TREE,FROG,Adventure_aquarium
A,No,No,0.0.3,0,0,3,CLOWN TREE,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,DYEING POISON DART,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,GOLDEN POISON DART,FROG,Adventure_aquarium
A,No,No,0.0.3,0,0,3,GRAY TREE,FROG,Adventure_aquarium
A,No,No,0.0.14,0,0,14,GREEN & BLACK POISON,FROG,Adventure_aquarium
A,No,No,0.0.1,0,0,1,HOURGLASS,FROG,Adventure_aquarium
A,No,No,0.0.16,0,0,16,RED-EYED TREE,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,STRAWBERRY POISON DART,FROG,Adventure_aquarium
A,No,No,0.0.5,0,0,5,VIETNAMESE MOSSY,FROG,Adventure_aquarium
A,No,No,0.0.2,0,0,2,WAXY MONKEY,FROG,Adventure_aquarium
A,No,No,0.0.7,0,0,7,YELLOW & BLACK POISON DART,FROG,Adventure_aquarium
M,No,No,1.0.0,1,0,0,AFRICAN PYGMY,HEDGEHOG,Adventure_aquarium
M,No,Yes,0.2.0,0,2,0,,HIPPOPOTAMUS,Adventure_aquarium
B,No,No,0.0.1,0,0,1,LAUGHING,KOOKABURRA,Adventure_aquarium
R,No,No,0.0.1,0,0,1,FRILLED,LIZARD,Adventure_aquarium
B,No,No,1.0.0,1,0,0,BLUE & GOLD,MACAW,Adventure_aquarium
B,No,No,1.0.0,1,0,0,RED-FRONTED,MACAW,Adventure_aquarium
A,No,No,0.0.3,0,0,3,EMPEROR,NEWT,Adventure_aquarium
B,No,No,9.8.7,9,8,7,AFRICAN,PENGUIN,Adventure_aquarium
B,No,No,6.2.0,6,2,0,LITTLE BLUE,PENGUIN,Adventure_aquarium
M,No,No,2.0.0,2,0,0,AFRICAN-CRESTED,PORCUPINE,Adventure_aquarium
M,No,No,0.0.1,0,0,1,PREHENSILE-TAILED,PORCUPINE,Adventure_aquarium
R,No,No,0.0.1,0,0,1,ALBINO CORN,SNAKE,Adventure_aquarium
R,No,No,0.0.2,0,0,2,NORTHERN DIAMONDBACK,TERRAPIN,Adventure_aquarium
A,No,No,0.0.1,0,0,1,FIREBELLY,TOAD,Adventure_aquarium
A,No,No,0.0.6,0,0,6,SURINAM,TOAD,Adventure_aquarium
R,No,No,0.0.1,0,0,1,RED-FOOTED,TORTOISE,Adventure_aquarium
R,No,No,0.0.2,0,0,2,STAR,TORTOISE,Adventure_aquarium
R,No,No,0.0.1,0,0,1,YELLOW-FOOTED,TORTOISE,Adventure_aquarium
R,No,No,0.0.5,0,0,5,COMMON SNAKENECK,TURTLE,Adventure_aquarium
R,Yes,No,1.1.0,1,1,0,GREEN SEA,TURTLE,Adventure_aquarium
R,No,No,0.0.1,0,0,1,HELMETED,TURTLE,Adventure_aquarium
R,Yes,No,0.1.2,0,1,2,LOGGERHEAD SEA,TURTLE,Adventure_aquarium
R,No,No,0.0.2,0,0,2,MATAMATA,TURTLE,Adventure_aquarium
R,No,No,0.0.1,0,0,1,ORNATE BOX,TURTLE,Adventure_aquarium
R,No,No,0.0.2,0,0,2,PAINTED WOOD,TURTLE,Adventure_aquarium
R,No,No,1.1.0,1,1,0,SPINY SOFT-SHELLED,TURTLE,Adventure_aquarium
R,No,No,0.0.2,0,0,2,THREE-STRIPED MUD,TURTLE,Adventure_aquarium
R,No,Yes,2.1.0,2,1,0,AMERICAN,ALLIGATOR,Bergen_county_zoo
M,No,No,0.1.0,0,1,0,GIANT,ANTEATER,Bergen_county_zoo
A,No,No,0.0.6,0,0,6,,AXOLOTL,Bergen_county_zoo
M,No,No,.2.0,,2,0,,BETTONG,Bergen_county_zoo
M,Yes,Yes,0.1.0,0,1,0,,BOBCAT,Bergen_county_zoo
M,No,No,2.0.0,2,0,0,,CAPYBARA,Bergen_county_zoo
M,No,No,1.0.0,1,0,0,,CHINCHILLA,Bergen_county_zoo
R,No,No,2.2.0,2,2,0,,CHUCKWALLA,Bergen_county_zoo
M,No,No,0.3.0,0,3,0,WHITE-NOSED,COATIMUNDI,Bergen_county_zoo
B,No,No,1.1.0,1,1,0,ANDEAN,CONDOR,Bergen_county_zoo
B,No,No,1.0.0,1,0,0,COMMON,CROW,Bergen_county_zoo
M,No,No,2.2.0,2,2,0,BROCKET,DEER,Bergen_county_zoo
M,No,Yes,0.0.19,0,0,19,BLACK-TAILED PRAIRIE,DOG,Bergen_county_zoo
B,No,No,0.2.0,0,2,0,RING-NECKED,DOVE,Bergen_county_zoo
R,No,No,1.1.0,1,1,0,BEARDED,DRAGON,Bergen_county_zoo
B,No,No,1.0.0,1,0,0,NORTH AMERICAN WOOD,DUCK,Bergen_county_zoo
